tracker_id,class_id,x_min,y_min,x_max,y_max
0,0,628.10986,254.10648,640.0,273.3121
1,0,348.3976,227.82623,368.4789,249.25061
2,0,578.23145,268.83636,598.9309,288.53363
3,0,310.22614,346.498,332.67767,367.53326
4,0,624.76624,251.3895,640.0,274.92715
5,0,34.92804,387.51727,61.342728,414.68604
6,0,88.02904,2.0396767,110.55669,24.82225
7,0,536.9065,371.34454,558.8435,392.37518
8,0,623.6732,254.05936,640.0,279.38797
9,0,428.61346,149.05048,455.19354,176.0716
6,0,87.71098,3.9263897,108.310745,23.561926
1,0,345.10117,229.53043,364.96634,251.79007
0,0,629.6165,257.51196,640.0,273.79236
2,0,577.5989,268.71976,599.3268,288.76718
3,0,310.28143,346.58475,332.3529,367.4279
5,0,34.892204,387.83026,61.414406,414.92365
7,0,537.0188,371.6543,558.5067,392.3567
4,0,625.9275,256.38306,640.0,276.047
9,0,428.99835,149.44305,453.63647,175.8653
3,0,310.469,346.54272,332.54895,366.97827
2,0,577.38403,268.58252,599.0991,288.6814
5,0,35.31771,388.36877,61.483162,414.9486
7,0,536.272,370.76764,559.02954,393.49036
10,0,625.78516,313.52692,640.0,331.25153
5,0,34.60542,387.97974,61.482464,415.31873
3,0,309.88855,346.40887,332.16687,367.16742
11,0,395.6691,268.0989,413.47098,288.72372
2,0,577.31604,268.5009,599.43713,289.145
12,0,623.06335,312.4223,640.0,335.39508
13,0,606.6501,0.02408886,624.7182,14.795493
14,0,108.201294,15.655441,128.91853,36.67236
15,0,277.88092,155.91272,300.51764,179.17459
7,0,534.9885,370.19455,558.8921,393.70554
3,0,310.13037,346.6895,331.8777,366.9886
2,0,577.4123,268.5608,599.09393,288.84644
11,0,394.30414,273.4764,413.38898,294.90787
5,0,34.888603,387.41293,61.21579,414.8134
13,0,606.2755,0.0,623.0148,14.30528
10,0,625.9027,313.74594,639.9828,332.7006
12,0,623.131,312.71368,640.0,335.88342
14,0,107.811264,15.3766365,129.63979,38.740032
15,0,276.5761,157.31442,299.9831,181.22336
7,0,534.4831,370.04865,559.03754,393.6336
10,0,626.3445,316.49133,639.99976,335.70667
2,0,577.3805,268.63123,599.2645,288.73267
3,0,310.23016,346.77808,331.5136,367.11877
5,0,34.436623,387.47507,61.33101,414.79
11,0,392.1195,275.31885,412.14026,296.75427
14,0,108.17592,15.494615,129.52931,36.93303
7,0,534.78564,370.85852,559.09106,394.02625
12,0,623.0669,317.50977,640.0,342.37878
15,0,275.07214,158.5694,299.72803,184.31421
13,0,598.6001,0.0,622.266,17.401955
12,0,624.05194,317.7544,639.90424,339.0655
3,0,310.05658,346.75183,331.62384,367.24194
5,0,34.297966,388.128,61.338615,414.80573
2,0,577.3163,268.62592,599.6389,288.77533
11,0,395.13452,276.59775,415.31714,298.42526
13,0,603.7866,0.0,620.6658,13.25359
7,0,535.3552,371.2283,558.9607,393.73526
15,0,275.91754,158.9209,300.60126,183.75464
14,0,108.40256,14.370917,129.30048,34.953674
10,0,624.72375,318.10632,639.93835,339.1952
5,0,34.55437,387.6264,61.28822,414.65247
3,0,309.52487,346.34848,333.01724,367.72647
11,0,396.62994,280.60272,417.32935,302.90802
2,0,577.9315,268.69995,599.6245,288.7998
15,0,276.44696,158.92169,301.70453,183.94165
13,0,600.75183,0.0,619.08264,12.874468
14,0,108.34306,14.500698,128.66696,34.275883
7,0,535.0472,370.8662,559.08734,393.6322
11,0,397.09436,280.9281,418.71973,303.36523
5,0,34.41771,387.73407,61.166344,414.07794
3,0,309.5832,346.47467,331.94073,367.5547
15,0,276.96753,160.6541,301.99695,185.15752
2,0,577.7412,268.63165,599.7993,289.23285
12,0,629.3186,321.4788,639.9617,342.4979
14,0,108.31531,13.543575,129.2767,34.09481
7,0,535.8888,371.46246,558.95764,393.61816
10,0,625.94025,320.6432,640.0,341.0631
13,0,599.3214,0.012184143,617.3981,14.039232
15,0,277.70483,163.45316,301.31262,187.0137
11,0,401.44717,277.98422,421.1884,299.17325
3,0,309.5035,346.2047,331.355,367.18054
5,0,34.35875,387.39932,61.356377,414.10947
2,0,578.0122,268.69196,599.6206,289.02765
13,0,599.92285,0.0,615.8081,12.543173
12,0,629.845,324.47913,640.0,343.50598
14,0,108.78885,12.977081,130.19254,33.744118
7,0,536.00287,371.2264,559.01544,393.6202
10,0,625.69946,322.95367,640.0,344.3067
16,0,57.543167,390.42236,77.39844,414.7793
11,0,400.69537,272.966,424.07507,295.84454
5,0,34.343407,387.34186,61.521294,414.25763
15,0,277.07944,165.30865,299.82028,188.65076
2,0,577.50653,268.67023,599.4268,288.96393
3,0,309.7379,346.19153,331.6031,366.9862
13,0,599.43994,0.0,613.53516,11.537512
12,0,631.5324,328.2079,640.0,348.01587
